,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,4,18,36537,36537,31898,64,logistic,0.001,100,sgd,6.949517250061035,0.027429819107055664,0.8845910956741396,0.8499384152182838
1,4,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.099876165390015,0.019068002700805664,0.8847935973041281,0.8502805528944848
2,4,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.183536052703857,0.017506837844848633,0.8822852359527048,0.8460591133004927
3,4,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.2150537967681885,0.016726016998291016,0.6578523107749257,0.656240128663242
4,4,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.611630201339722,0.01711583137512207,0.20809364014062,0.356439031066101
