,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,56,55,36537,36537,31898,64,logistic,0.001,100,sgd,3.728001832962036,0.026685237884521484,0.8865030674846626,0.8531545093745723
1,56,55,36537,36537,31898,64,logistic,0.001,100,sgd,3.6679961681365967,0.015665769577026367,0.8843483748816661,0.8495278500068428
2,56,55,36537,36537,31898,64,logistic,0.001,100,sgd,3.4468841552734375,0.015662193298339844,0.8842553639040808,0.8494116037219486
3,56,55,36537,36537,31898,64,logistic,0.001,100,sgd,3.507020950317383,0.0159451961517334,0.6619641413234204,0.660140058093367
4,56,55,36537,36537,31898,64,logistic,0.001,100,sgd,4.09200382232666,0.015773773193359375,0.2083499640775924,0.357191733953743
