,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,95,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.064986705780029,0.024585962295532227,0.8870352716873213,0.8540440673326947
1,95,18,36537,36537,31898,64,logistic,0.001,100,sgd,3.954525947570801,0.016865015029907227,0.8845506209219112,0.8498699876830437
2,95,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.024170875549316,0.01567816734313965,0.8845789473684211,0.8499589490968802
3,95,18,36537,36537,31898,64,logistic,0.001,100,sgd,4.0180580615997314,0.015993833541870117,0.664639018623395,0.6624661354862201
4,95,18,36537,36537,31898,64,logistic,0.001,100,sgd,5.505963087081909,0.01616191864013672,0.20689931809065384,0.35294922676885176
