,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,2,logistic,0.0001,100,sgd,28.305647134780884,67,27,0.7328726115739236,0.7387615463564831
1,36537,36537,31898,2,logistic,0.0001,100,sgd,26.054692029953003,86,99,0.7335055337929147,0.7402668491276087
2,36537,36537,31898,2,logistic,0.0001,100,sgd,21.523814916610718,78,11,0.7327699755384115,0.7349298665754362
3,36537,36537,31898,2,logistic,0.0001,100,sgd,25.131905794143677,45,38,0.7302896046802032,0.7367088607594937
4,36537,36537,31898,2,logistic,0.0001,100,sgd,29.453880071640015,95,74,0.7310422689406251,0.7333561409510777
5,36537,36537,31898,2,logistic,0.0001,100,sgd,27.59714913368225,26,42,0.7372004310713491,0.7317139924734861
6,36537,36537,31898,2,logistic,0.0001,100,sgd,29.607810974121094,38,74,0.7317778271951282,0.7362983236400958
7,36537,36537,31898,2,logistic,0.0001,100,sgd,28.59480595588684,86,60,0.7340358199763937,0.7367088607594937
8,36537,36537,31898,2,logistic,0.0001,100,sgd,25.5055730342865,96,97,0.7328897175798423,0.7352035579883681
9,36537,36537,31898,2,logistic,0.0001,100,sgd,34.80841779708862,44,71,0.7334371097692399,0.7400615805679097
