,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,8,logistic,0.1,100,sgd,14.84165072441101,5,42,0.7555551754220907,0.7503250085528567
1,36537,36537,31898,8,logistic,0.1,100,sgd,13.394121885299683,48,95,0.7511931439128278,0.7492302429011289
2,36537,36537,31898,8,logistic,0.1,100,sgd,19.27622413635254,51,81,0.758942164593989,0.7568251796099897
3,36537,36537,31898,8,logistic,0.1,100,sgd,27.233479976654053,2,70,0.763509468174276,0.7604515908313376
4,36537,36537,31898,8,logistic,0.1,100,sgd,25.743446111679077,49,85,0.762397577789562,0.7687991789257612
5,36537,36537,31898,8,logistic,0.1,100,sgd,38.46805214881897,3,35,0.7882618587386031,0.7824837495723571
6,36537,36537,31898,8,logistic,0.1,100,sgd,22.330246925354004,97,76,0.7573684120494706,0.7587410195005132
7,36537,36537,31898,8,logistic,0.1,100,sgd,14.134121894836426,36,25,0.7543064369900272,0.7506671228190216
8,36537,36537,31898,8,logistic,0.1,100,sgd,21.905417919158936,84,11,0.7598658889135975,0.7560725282244269
9,36537,36537,31898,8,logistic,0.1,100,sgd,10.446423053741455,75,3,0.7541353769308404,0.7501881628463907
