,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,4,logistic,0.1,100,sgd,14.381042003631592,96,20,0.746985066456833,0.7414300376325693
1,36537,36537,31898,4,logistic,0.1,100,sgd,11.710551738739014,88,59,0.7490891051848304,0.745672254533014
2,36537,36537,31898,4,logistic,0.1,100,sgd,14.120230913162231,17,73,0.7486956670487008,0.7482039001026343
3,36537,36537,31898,4,logistic,0.1,100,sgd,8.441624879837036,20,85,0.7449494517525103,0.7488197057817311
4,36537,36537,31898,4,logistic,0.1,100,sgd,21.57523798942566,19,89,0.7521681862501924,0.7488197057817311
5,36537,36537,31898,4,logistic,0.1,100,sgd,13.998772144317627,50,74,0.747515352640312,0.7462880602121108
6,36537,36537,31898,4,logistic,0.1,100,sgd,22.358227014541626,65,98,0.7608751432627996,0.7564830653438248
7,36537,36537,31898,4,logistic,0.1,100,sgd,20.74312710762024,37,17,0.7521168682324364,0.7447143345877523
8,36537,36537,31898,4,logistic,0.1,100,sgd,17.623355865478516,5,41,0.7548538291794249,0.7521040027369141
9,36537,36537,31898,4,logistic,0.1,100,sgd,11.428956270217896,41,92,0.7493628012795293,0.7490933971946631
