,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,64,logistic,0.1,100,sgd,86.9530029296875,55,67,0.8390324843052396,0.8216216216216217
1,36537,36537,31898,64,logistic,0.1,100,sgd,86.27496695518494,56,64,0.8420431413469269,0.8164899076291481
2,36537,36537,31898,64,logistic,0.1,100,sgd,62.00923705101013,80,72,0.8303426332985511,0.8123161135819363
3,36537,36537,31898,64,logistic,0.1,100,sgd,85.34872388839722,4,92,0.8289570468191382,0.8041737940472118
4,36537,36537,31898,64,logistic,0.1,100,sgd,54.567769050598145,37,4,0.8406404488615953,0.8186110160793705
5,36537,36537,31898,64,logistic,0.1,100,sgd,77.5526831150055,8,30,0.8522041088626217,0.8329113924050633
6,36537,36537,31898,64,logistic,0.1,100,sgd,78.92788290977478,49,27,0.8430352896902102,0.8231953472459802
7,36537,36537,31898,64,logistic,0.1,100,sgd,74.5222418308258,93,14,0.8390324843052396,0.8231953472459802
8,36537,36537,31898,64,logistic,0.1,100,sgd,67.20292496681213,24,70,0.8422313074120323,0.8213479302086897
9,36537,36537,31898,64,logistic,0.1,100,sgd,86.26038980484009,84,57,0.8459946287141415,0.8257269928156004
