,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,33,46,36537,36537,31898,64,logistic,0.01,100,sgd,4.136070013046265,0.028017044067382812,0.8841867311534013,0.849254139865882
1,33,46,36537,36537,31898,64,logistic,0.01,100,sgd,27.963298082351685,0.015789031982421875,0.7971658827853266,0.761192340250919
2,33,46,36537,36537,31898,64,logistic,0.01,100,sgd,23.68273687362671,0.015397071838378906,0.8528247223563497,0.7914614121510672
3,33,46,36537,36537,31898,64,logistic,0.01,100,sgd,2.1830649375915527,0.014974117279052734,0.6583239261672751,0.6570616055309524
4,33,46,36537,36537,31898,64,logistic,0.01,100,sgd,24.77398180961609,0.029343366622924805,0.2240643843617925,0.3634870671958396
