,feature_list,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",30,21,36537,36537,31898,32,logistic,0.1,10,sgd,100.01519107818604,0.017547607421875,0.34653727942599155,0.3931765743520414
1,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",30,21,36537,36537,31898,32,logistic,0.1,10,sgd,84.30692410469055,0.012906074523925781,0.5370083382860253,0.5348013755020735
2,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",30,21,36537,36537,31898,32,logistic,0.1,10,sgd,79.38257789611816,0.012165069580078125,0.5533727385028007,0.5486727080652132
3,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",30,21,36537,36537,31898,32,logistic,0.1,10,sgd,59.91573405265808,0.012031078338623047,0.4287647898391432,0.44165496432217527
4,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",30,21,36537,36537,31898,32,logistic,0.1,10,sgd,92.31764698028564,0.011801004409790039,0.2373846253403621,0.37648829889147395
