,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,16,logistic,0.1,100,sgd,43.64048409461975,34,67,0.7891000530286183,0.782825863838522
1,36537,36537,31898,16,logistic,0.1,100,sgd,33.70036816596985,33,51,0.7695478882635693,0.7683886418063633
2,36537,36537,31898,16,logistic,0.1,100,sgd,32.76218390464783,87,42,0.7759284284712362,0.7723571672938762
3,36537,36537,31898,16,logistic,0.1,100,sgd,24.776158809661865,36,8,0.767067517405361,0.7537461512145056
4,36537,36537,31898,16,logistic,0.1,100,sgd,35.77239799499512,5,78,0.7762192305718538,0.765925419089976
5,36537,36537,31898,16,logistic,0.1,100,sgd,33.63615584373474,1,88,0.7663319591508578,0.7642148477591516
6,36537,36537,31898,16,logistic,0.1,100,sgd,42.89269495010376,46,32,0.8028361757813168,0.803557988368115
7,36537,36537,31898,16,logistic,0.1,100,sgd,24.624491930007935,49,76,0.7643134504524538,0.7655148819705782
8,36537,36537,31898,16,logistic,0.1,100,sgd,36.118967056274414,62,11,0.7764416086487966,0.7648306534382484
9,36537,36537,31898,16,logistic,0.1,100,sgd,52.25360107421875,57,12,0.8039480661660309,0.7961683202189531
