,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,46,68,36537,36537,31898,64,logistic,0.001,100,sgd,3.731210947036743,0.026201248168945312,0.8882277943051424,0.85602846585466
1,46,68,36537,36537,31898,64,logistic,0.001,100,sgd,4.3840649127960205,0.015578269958496094,0.8797152655097162,0.8415902559189818
2,46,68,36537,36537,31898,64,logistic,0.001,100,sgd,3.575209856033325,0.015369415283203125,0.8751411849265838,0.8336070060207992
3,46,68,36537,36537,31898,64,logistic,0.001,100,sgd,4.08588719367981,0.015774011611938477,0.6602487146707154,0.6587719474671287
4,46,68,36537,36537,31898,64,logistic,0.001,100,sgd,3.9285659790039062,0.015101909637451172,0.20750940677287646,0.3547283426850965
