,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,2,logistic,0.01,100,sgd,5.910697937011719,74,48,0.7389965616928104,0.7326034895655149
1,36537,36537,31898,2,logistic,0.01,100,sgd,6.665325880050659,6,96,0.7381754734087138,0.7380088949709203
2,36537,36537,31898,2,logistic,0.01,100,sgd,6.235873222351074,76,64,0.7368583109529756,0.7442353746151215
3,36537,36537,31898,2,logistic,0.01,100,sgd,8.996277093887329,53,56,0.7377820352725842,0.7367088607594937
4,36537,36537,31898,2,logistic,0.01,100,sgd,5.973678112030029,71,61,0.739492635864452,0.7328087581252138
5,36537,36537,31898,2,logistic,0.01,100,sgd,4.960314035415649,47,65,0.7381412613968764,0.7395141977420459
6,36537,36537,31898,2,logistic,0.01,100,sgd,5.204003095626831,98,75,0.7362938127576593,0.732192952446117
7,36537,36537,31898,2,logistic,0.01,100,sgd,5.525680065155029,98,33,0.737422809148292,0.7352035579883681
8,36537,36537,31898,2,logistic,0.01,100,sgd,5.531139135360718,10,26,0.7372688550950238,0.7352719808416011
9,36537,36537,31898,2,logistic,0.01,100,sgd,8.183027029037476,61,67,0.7363451307754153,0.7405405405405405
