,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,32,logistic,0.1,100,sgd,46.46909999847412,86,95,0.7944200208693272,0.7918576804652754
1,36537,36537,31898,32,logistic,0.1,100,sgd,63.47466015815735,31,49,0.8161446483860484,0.7991105029079713
2,36537,36537,31898,32,logistic,0.1,100,sgd,53.88974213600159,31,7,0.8203185138302058,0.8128634964078002
3,36537,36537,31898,32,logistic,0.1,100,sgd,45.60397911071777,25,12,0.7904172154843565,0.7854259322613752
4,36537,36537,31898,32,logistic,0.1,100,sgd,49.95733594894409,22,17,0.8087719598350981,0.8010263427984947
5,36537,36537,31898,32,logistic,0.1,100,sgd,38.0665500164032,45,67,0.7826681948031954,0.772972972972973
6,36537,36537,31898,32,logistic,0.1,100,sgd,32.58307099342346,89,60,0.7822234386493098,0.7791994526171742
7,36537,36537,31898,32,logistic,0.1,100,sgd,36.278082847595215,34,59,0.8074205853675226,0.7959630516592542
8,36537,36537,31898,32,logistic,0.1,100,sgd,38.724416971206665,39,37,0.7880223746557417,0.7754361956893603
9,36537,36537,31898,32,logistic,0.1,100,sgd,33.05769205093384,45,53,0.7789219795070049,0.7691412931919261
