,feature_list,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",99,59,36537,36537,31898,64,logistic,0.1,10,sgd,94.64001393318176,0.027673006057739258,0.250222986090085,0.36868589319356887
1,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",99,59,36537,36537,31898,64,logistic,0.1,10,sgd,100.95400309562683,0.016156911849975586,0.5395218326406804,0.5378107450930866
2,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",99,59,36537,36537,31898,64,logistic,0.1,10,sgd,68.16143202781677,0.018271923065185547,0.65828643421907,0.6567942905742512
3,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",99,59,36537,36537,31898,64,logistic,0.1,10,sgd,53.86711025238037,0.015831947326660156,0.44300476372844794,0.45957785678967067
4,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",99,59,36537,36537,31898,64,logistic,0.1,10,sgd,67.68424987792969,0.01787590980529785,0.2309958560737562,0.3638976324072807
