,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,69,43,36537,36537,31898,64,logistic,0.001,100,sgd,4.581124782562256,0.025991201400756836,0.8862171017862805,0.852675516627891
1,69,43,36537,36537,31898,64,logistic,0.001,100,sgd,4.108789920806885,0.01669597625732422,0.8880628717077315,0.8557547557136992
2,69,43,36537,36537,31898,64,logistic,0.001,100,sgd,3.8687541484832764,0.016535043716430664,0.8890841320553781,0.8574849480021893
3,69,43,36537,36537,31898,64,logistic,0.001,100,sgd,4.1981282234191895,0.017070770263671875,0.6626155194956493,0.6605503704937172
4,69,43,36537,36537,31898,64,logistic,0.001,100,sgd,4.408029794692993,0.017850160598754883,0.2070638229634381,0.35342821951553305
