,no_counts,yes_counts,yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,ellapsed_time,TTT_seed,MLP_seed,train,test
0,36537,36537,31898,2,logistic,0.1,100,sgd,4.003137111663818,11,2,0.7390820917224037,0.7397194663017448
1,36537,36537,31898,2,logistic,0.1,100,sgd,6.564064979553223,46,93,0.7354727244735627,0.7358193636674649
2,36537,36537,31898,2,logistic,0.1,100,sgd,3.4761197566986084,44,34,0.735934586633367,0.7399931577146767
3,36537,36537,31898,2,logistic,0.1,100,sgd,3.6416239738464355,12,88,0.7374570211601293,0.7432774546698597
4,36537,36537,31898,2,logistic,0.1,100,sgd,4.21410608291626,45,86,0.7366872508937888,0.7428669175504619
5,36537,36537,31898,2,logistic,0.1,100,sgd,5.69135308265686,8,39,0.7409124343557023,0.7445774888812864
6,36537,36537,31898,2,logistic,0.1,100,sgd,4.395801067352295,10,49,0.7395268478762894,0.7371878207321245
7,36537,36537,31898,2,logistic,0.1,100,sgd,6.697585105895996,51,8,0.7409979643852956,0.7335614095107766
8,36537,36537,31898,2,logistic,0.1,100,sgd,4.08406400680542,36,3,0.7381925794146325,0.7402668491276087
9,36537,36537,31898,2,logistic,0.1,100,sgd,3.0569581985473633,9,78,0.7381583674027952,0.7362983236400958
