,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,29,32,36537,36537,31898,64,logistic,0.01,100,sgd,3.847412109375,0.025183916091918945,0.8858093126385809,0.8519912412754893
1,29,32,36537,36537,31898,64,logistic,0.01,100,sgd,19.386425018310547,0.01772022247314453,0.8454665784248843,0.7763103872998495
2,29,32,36537,36537,31898,64,logistic,0.01,100,sgd,17.940813064575195,0.01793384552001953,0.8489160538630504,0.7835249042145593
3,29,32,36537,36537,31898,64,logistic,0.01,100,sgd,4.9278340339660645,0.016643047332763672,0.6580981076824437,0.6563083689310076
4,29,32,36537,36537,31898,64,logistic,0.01,100,sgd,23.39636492729187,0.016844987869262695,0.21876090769943857,0.3586287121937868
