,feature_list,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",93,59,36537,36537,31898,64,logistic,0.001,100,sgd,3.8731987476348877,0.026977062225341797,0.8824976447189364,0.8463801833857945
1,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",93,59,36537,36537,31898,64,logistic,0.001,100,sgd,3.92903995513916,0.016156911849975586,0.8723252496433667,0.8285205966881073
2,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",93,59,36537,36537,31898,64,logistic,0.001,100,sgd,3.8671751022338867,0.015977859497070312,0.8322354408319376,0.7980951283564979
3,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",93,59,36537,36537,31898,64,logistic,0.001,100,sgd,4.343746900558472,0.0156710147857666,0.6600215839968605,0.6595945385763133
4,"age, campaign, pdays, nr.employed, marital_cat, default_cat, education_cat, month_cat, day_of_week_cat, y_cat, ",93,59,36537,36537,31898,64,logistic,0.001,100,sgd,4.0224387645721436,0.015552043914794922,0.2069933434918598,0.3532229369098125
