,TTT_seed,MLP_seed,smote_yes,smote_no,smote_yes_oversample,hidden_layers,activation_function,learning_rate,batch_size,solver,fit_time,score_time,test_precision_macro,test_recall_macro
0,49,95,36537,36537,31898,64,logistic,0.001,100,sgd,4.634042978286743,0.026520967483520508,0.8887647622087456,0.8569180238127823
1,49,95,36537,36537,31898,64,logistic,0.001,100,sgd,4.214201927185059,0.019879817962646484,0.8885167464114833,0.8565074586013413
2,49,95,36537,36537,31898,64,logistic,0.001,100,sgd,4.090893745422363,0.016816139221191406,0.8834487825356843,0.8480432402846196
3,49,95,36537,36537,31898,64,logistic,0.001,100,sgd,4.077944040298462,0.016797780990600586,0.6587069821941811,0.6569241886580479
4,49,95,36537,36537,31898,64,logistic,0.001,100,sgd,4.558256149291992,0.016749858856201172,0.2106138613861386,0.3638976324072807
